"Region","Year","Gender","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 1: Southwest","SFY 2004-2005","Female","In State","Foster Care","Number","Children in Placement",141
"Region 1: Southwest","SFY 2004-2005","Female","In State","Relative Foster Care","Number","Children in Placement",69
"Region 1: Southwest","SFY 2004-2005","Female","In State","Special Study","Number","Children in Placement",8
"Region 1: Southwest","SFY 2004-2005","Female","In State","Therapeutic Foster Care","Number","Children in Placement",30
"Region 1: Southwest","SFY 2004-2005","Female","In State","PDC or Safe Home","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Female","In State","Shelter","Number","Children in Placement",6
"Region 1: Southwest","SFY 2004-2005","Female","In State","Group Home","Number","Children in Placement",14
"Region 1: Southwest","SFY 2004-2005","Female","In State","Residential Treatment Center","Number","Children in Placement",24
"Region 1: Southwest","SFY 2004-2005","Female","In State","High Meadows","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Female","In State","Solnit Center","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Female","In State","Independent Living","Number","Children in Placement",7
"Region 1: Southwest","SFY 2004-2005","Female","In State","Total","Number","Children in Placement",318
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Residential Treatment Center","Number","Children in Placement",24
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Female","Out of State","Total","Number","Children in Placement",44
"Region 1: Southwest","SFY 2004-2005","Male","In State","Foster Care","Number","Children in Placement",116
"Region 1: Southwest","SFY 2004-2005","Male","In State","Relative Foster Care","Number","Children in Placement",69
"Region 1: Southwest","SFY 2004-2005","Male","In State","Special Study","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Male","In State","Therapeutic Foster Care","Number","Children in Placement",26
