"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Other","SFY 2004-2005","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Foster Care",5,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Group Home",3,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Residential Treatment Center",39,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","In State","Total",47,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Residential Treatment Center",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Female","Out of State","Total",4,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Connecticut Juvenile Training School",25,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Foster Care",3,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Group Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Relative Foster Care",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Residential Treatment Center",103,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","In State","Total",136,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Residential Treatment Center",34,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Male","Out of State","Total",34,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Connecticut Juvenile Training School",25,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Foster Care",8,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Relative Foster Care",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Residential Treatment Center",142,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","In State","Total",183,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Group Home",2,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Residential Treatment Center",36,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2004-2005","Total","Out of State","Total",38,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Foster Care",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Group Home",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Relative Foster Care",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Residential Treatment Center",28,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","In State","Total",37,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Group Home",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Shelter",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Special Study",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Female","Out of State","Total",-6666,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Connecticut Juvenile Training School",51,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Foster Care",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Group Home",4,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Relative Foster Care",3,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Residential Treatment Center",87,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","In State","Total",150,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Residential Treatment Center",15,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Male","Out of State","Total",15,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School",51,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Foster Care",6,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Group Home",7,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","PDC or Safe Home",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Relative Foster Care",6,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Residential Treatment Center",115,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Solnit Center",1,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","In State","Total",187,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Residential Treatment Center",15,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Other","SFY 2005-2006","Total","Out of State","Total",15,"Number","Children in Placement"
"Other","SFY 2006-2007","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
